"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"Liberal Party","Canadian citizen",39,"A man","Completed secondary/ high school","Unemployed/ looking for work",50000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",48,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",65000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",39,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",69000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",51,"A man","Bachelor's degree","Working for pay full-time",40000,"Separated","Quebec"
"Liberal Party","Canadian citizen",64,"A woman","Bachelor's degree","Disabled",38000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",56,"A woman","Bachelor's degree","Retired",45000,"Separated","Ontario"
"Bloc Québécois","Canadian citizen",63,"A man","Bachelor's degree","Disabled",90000,"Married","Quebec"
"Liberal Party","Canadian citizen",72,"A man","Some technical, community college, CEGEP, College Classique","Retired",20000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",82,"A woman","Some university","Retired",44000,"Married","Nova Scotia"
"Liberal Party","Canadian citizen",49,"A woman","Completed secondary/ high school","Self employed (with or without employees)",75,"Married","Quebec"
"Liberal Party","Canadian citizen",50,"A woman","Some university","Caring for family and working for pay",85000,"Married","Ontario"
"Green Party","Canadian citizen",32,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",30100,"Never Married","Nova Scotia"
"Liberal Party","Canadian citizen",56,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",130000,"Married","Ontario"
"ndp","Canadian citizen",30,"A woman","Master's degree","Caring for family and working for pay",79000,"Married","Ontario"
"Liberal Party","Canadian citizen",47,"A man","Master's degree","Working for pay full-time",8700,"Married","British Columbia"
"Liberal Party","Canadian citizen",44,"A woman","Bachelor's degree","Working for pay full-time",11000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",45,"A man","Master's degree","Working for pay full-time",192000,"Married","Quebec"
"Liberal Party","Canadian citizen",40,"A man","Bachelor's degree","Working for pay full-time",107000,"Separated","Ontario"
"Liberal Party","Canadian citizen",46,"A man","Bachelor's degree","Disabled",15000,"Never Married","Quebec"
"ndp","Canadian citizen",41,"A man","Completed secondary/ high school","Working for pay full-time",42000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",33,"A man","Professional degree or doctorate","Working for pay full-time",97000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",67,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",18000,"Divorced","Quebec"
"Liberal Party","Canadian citizen",55,"A woman","Bachelor's degree","Retired",69999,"Never Married","Quebec"
"Liberal Party","Canadian citizen",75,"A man","Bachelor's degree","Retired",65000,"Married","Ontario"
"Liberal Party","Canadian citizen",55,"A woman","Bachelor's degree","Working for pay full-time",88000,"Separated","Ontario"
"Liberal Party","Canadian citizen",19,"A woman","Completed technical, community college, CEGEP, College Classique","Student and working for pay",150000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",67,"A woman","Bachelor's degree","Self employed (with or without employees)",80000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",68,"A woman","Completed secondary/ high school","Retired",45000,"Married","Quebec"
"Conservative Party","Canadian citizen",68,"A man","Completed secondary/ high school","Retired",41000,"Married","Alberta"
"Liberal Party","Canadian citizen",35,"A woman","Bachelor's degree","Working for pay full-time",69000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",61,"A man","Bachelor's degree","Retired",123123,"Married","Ontario"
"Liberal Party","Canadian citizen",57,"A woman","Completed secondary/ high school","Unemployed/ looking for work",20000,"Never Married","Ontario"
"Bloc Québécois","Canadian citizen",45,"A man","Some university","Disabled",12000,"Never Married","Quebec"
"Green Party","Canadian citizen",70,"A woman","Bachelor's degree","Self employed (with or without employees)",32000,"Married","Ontario"
"Green Party","Canadian citizen",55,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",740000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",62,"A woman","Bachelor's degree","Working for pay full-time",72000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",56,"A woman","Some technical, community college, CEGEP, College Classique","Retired",45000,"Married","Quebec"
"Conservative Party","Canadian citizen",72,"A woman","Master's degree","Retired",85000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",58,"A man","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",80000,"Divorced","Ontario"
"Bloc Québécois","Canadian citizen",34,"A man","Completed secondary/ high school","Working for pay full-time",110000,"Married","Quebec"
"Liberal Party","Canadian citizen",56,"A man","Completed technical, community college, CEGEP, College Classique","Retired",15000,"Separated","Quebec"
"Bloc Québécois","Canadian citizen",55,"A man","Bachelor's degree","Working for pay full-time",82000,"Living with a partner","Quebec"
"ndp","Canadian citizen",72,"A man","Master's degree","Retired",101254,"Married","Ontario"
"People's Party","Canadian citizen",54,"A woman","Completed secondary/ high school","Unemployed/ looking for work",62000,"Separated","Ontario"
"Green Party","Canadian citizen",76,"A man","Professional degree or doctorate","Retired",85000,"Married","Ontario"
"Liberal Party","Canadian citizen",78,"A man","Bachelor's degree","Self employed (with or without employees)",59000,"Married","Ontario"
"Conservative Party","Canadian citizen",26,"A man","Some university","Working for pay part-time",20000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",54,"A woman","Completed secondary/ high school","Unemployed/ looking for work",96000,"Married","Nova Scotia"
"Conservative Party","Canadian citizen",63,"A man","Bachelor's degree","Working for pay part-time",80000,"Divorced","Ontario"
"Liberal Party","Canadian citizen",62,"A man","Completed secondary/ high school","Working for pay part-time",15000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",42,"A man","Bachelor's degree","Working for pay full-time",114000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",44,"A woman","Some university","Working for pay full-time",140000,"Married","Quebec"
"Liberal Party","Canadian citizen",65,"A man","Completed technical, community college, CEGEP, College Classique","Retired",170000,"Married","Ontario"
"Conservative Party","Canadian citizen",64,"A woman","Completed secondary/ high school","Retired",63000,"Married","Ontario"
"ndp","Canadian citizen",40,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",65000,"Separated","New Brunswick"
"Green Party","Canadian citizen",53,"A woman","Bachelor's degree","Working for pay full-time",85000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",50,"A man","Bachelor's degree","Working for pay full-time",272000,"Married","Ontario"
"Conservative Party","Canadian citizen",56,"A man","Bachelor's degree","Working for pay full-time",150000,"Married","Ontario"
"Conservative Party","Canadian citizen",53,"A man","Master's degree","Retired",2e+05,"Married","Ontario"
"Liberal Party","Canadian citizen",54,"A woman","Some secondary/ high school","Disabled",12000,"Separated","Northwest Territories"
"Bloc Québécois","Canadian citizen",56,"A woman","Completed secondary/ high school","Other (please specify)",75000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",70,"A woman","Completed secondary/ high school","Retired",20000,"Separated","Ontario"
"Conservative Party","Canadian citizen",67,"A man","Master's degree","Retired",125000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",53,"A woman","Completed secondary/ high school","Working for pay full-time",40000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",40,"A woman","Bachelor's degree","Working for pay full-time",29000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",63,"A man","Completed technical, community college, CEGEP, College Classique","Retired",75000,"Married","Ontario"
"Conservative Party","Canadian citizen",38,"A man","Bachelor's degree","Working for pay full-time",2e+05,"Married","Ontario"
"ndp","Canadian citizen",37,"A man","Bachelor's degree","Working for pay full-time",68000,"Never Married","Quebec"
"ndp","Canadian citizen",46,"A woman","Some university","Working for pay full-time",67112,"Never Married","Ontario"
"Conservative Party","Canadian citizen",81,"A man","Professional degree or doctorate","Retired",52000,"Married","Ontario"
"Green Party","Canadian citizen",67,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",80000,"Married","Quebec"
"People's Party","Canadian citizen",66,"A man","Completed technical, community college, CEGEP, College Classique","Retired",53000,"Married","Ontario"
"Conservative Party","Canadian citizen",67,"A man","Completed secondary/ high school","Retired",40000,"Married","Quebec"
"Conservative Party","Canadian citizen",67,"A man","Master's degree","Retired",80000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",61,"A man","Some technical, community college, CEGEP, College Classique","Unemployed/ looking for work",8000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",38,"A woman","Completed secondary/ high school","Other (please specify)",9000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",65,"A man","Bachelor's degree","Working for pay full-time",128000,"Married","Ontario"
"Conservative Party","Canadian citizen",70,"A man","Bachelor's degree","Retired",65000,"Married","New Brunswick"
"Conservative Party","Canadian citizen",76,"A man","Bachelor's degree","Working for pay part-time",79000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",56,"A man","Professional degree or doctorate","Working for pay full-time",140000,"Married","Quebec"
"Liberal Party","Canadian citizen",81,"A man","Bachelor's degree","Retired",89000,"Married","Ontario"
"Green Party","Canadian citizen",70,"A man","Bachelor's degree","Retired",185000,"Married","Ontario"
"Liberal Party","Canadian citizen",62,"A woman","Bachelor's degree","Retired and working for pay",80000,"Married","Manitoba"
"Liberal Party","Canadian citizen",40,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",65000,"Living with a partner","Quebec"
